timestamp,test-class,test-method,time,description,result
2021-12-07 12:43:48.104,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3590,"[1] title=Title of duty 06, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:43:51.847,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3493,"[2] title=null, executionPeriodInit=2020/05/10 19:39, executionPeriodEnd=2020/06/11 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:43:55.545,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3480,"[3] title=Title of duty 06, executionPeriodInit=2022/05/10 19:39, executionPeriodEnd=null, description=Description of duty 06, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:43:59.145,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3376,"[4] title=Title of duty 06, executionPeriodInit=2022/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=null, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:02.842,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3476,"[5] title=Title of duty 06, executionPeriodInit=2022/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=Description of duty 06, optionalLink=test, iter=0",OK
2021-12-07 12:44:06.489,acme.testing.officer.CreateDutyOfficerTest,negativeCreateDuties,3410,"[6] title=Title of duty 06, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2022/06/10 19:39, description=Description of duty 06, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:09.346,acme.testing.officer.CreateDutyOfficerTest,positiveCreateDuties,2636,"[1] title=Title of duty 05, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/06/11 19:39, description=Description of duty 05, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:18.809,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,2799,"[1] title=Title of duty 01, executionPeriodInit=2023/05/10 19:39, executionPeriodEnd=2023/05/11 19:39, description=Description of duty 01, optionalLink=https://www.google.com, iter=0",OK
2021-12-07 12:44:21.916,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,2883,"[2] title=Title of duty 02, executionPeriodInit=2023/05/21 19:39, executionPeriodEnd=2023/05/21 19:39, description=Description of duty 02, optionalLink=https://www.google.com, iter=1",OK
2021-12-07 12:44:24.944,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,2791,"[3] title=Title of duty 03, executionPeriodInit=2023/05/10 23:30, executionPeriodEnd=2023/05/11 23:30, description=Description of duty 03, optionalLink=https://www.google.com, iter=2",OK
2021-12-07 12:44:27.95,acme.testing.officer.ShowDutiesOfficerTest,positiveShowduty,2771,"[4] title=Title of duty 04, executionPeriodInit=2021/05/24 14:17, executionPeriodEnd=2021/05/24 14:18, description=Description of duty 04, optionalLink=https://www.google.com, iter=3",OK
